,kNN,SVM,Gaussian-NB,LDA
RlfF-5,0.8473684210526315,0.8378947368421052,0.8805263157894736,0.8147368421052632
RlfF-10,0.8578947368421053,0.8610526315789473,0.9005263157894736,0.8910526315789473
RlfF-15,0.8578947368421053,0.8942105263157896,0.8773684210526316,0.9010526315789473
RlfF-20,0.8415789473684211,0.8778947368421053,0.8773684210526316,0.9010526315789473
RlfF-25,0.8678947368421053,0.9173684210526316,0.8873684210526316,0.8878947368421053
RlfF-30,0.8942105263157896,0.8842105263157896,0.8773684210526316,0.8647368421052631
MSurf-5,0.8478947368421053,0.8215789473684211,0.8347368421052632,0.8215789473684211
MSurf-10,0.8184210526315789,0.8910526315789473,0.8184210526315789,0.8678947368421053
MSurf-15,0.8910526315789473,0.8578947368421053,0.8910526315789473,0.9110526315789473
MSurf-20,0.9042105263157895,0.8810526315789473,0.8910526315789473,0.9142105263157895
MSurf-25,0.8910526315789473,0.8778947368421053,0.8942105263157896,0.8810526315789473
MSurf-30,0.9042105263157895,0.9042105263157895,0.8910526315789473,0.8610526315789473
RlfI-5,0.7494736842105263,0.7426315789473684,0.7594736842105263,0.7526315789473684
RlfI-10,0.7757894736842106,0.7821052631578947,0.8052631578947369,0.7852631578947369
RlfI-15,0.7657894736842106,0.7952631578947369,0.8215789473684211,0.7621052631578947
RlfI-20,0.7689473684210526,0.8215789473684211,0.8215789473684211,0.7521052631578947
RlfI-25,0.8021052631578948,0.8215789473684211,0.8578947368421053,0.7884210526315789
RlfI-30,0.7857894736842105,0.7952631578947369,0.8578947368421053,0.7884210526315789
RlfLM-5,0.828421052631579,0.8347368421052632,0.8247368421052632,0.8378947368421052
RlfLM-10,0.8510526315789473,0.8147368421052632,0.8278947368421052,0.791578947368421
RlfLM-15,0.8378947368421052,0.8115789473684211,0.8078947368421052,0.8378947368421052
RlfLM-20,0.8742105263157895,0.9042105263157895,0.8905263157894736,0.9073684210526316
RlfLM-25,0.8973684210526316,0.9173684210526316,0.8905263157894736,0.8810526315789473
RlfLM-30,0.9073684210526316,0.9305263157894736,0.9005263157894736,0.8578947368421053
MI-5,0.8347368421052632,0.7921052631578948,0.838421052631579,0.8152631578947369
MI-10,0.8215789473684211,0.8452631578947368,0.8184210526315789,0.8315789473684211
MI-15,0.8352631578947368,0.8052631578947369,0.8215789473684211,0.828421052631579
MI-20,0.8184210526315789,0.7721052631578947,0.8215789473684211,0.8084210526315789
MI-25,0.838421052631579,0.8184210526315789,0.791578947368421,0.7752631578947369
MI-30,0.8315789473684211,0.7984210526315789,0.8178947368421052,0.8084210526315789
RFGini-5,0.8347368421052632,0.8447368421052632,0.851578947368421,0.838421052631579
RFGini-10,0.8415789473684211,0.851578947368421,0.8647368421052631,0.8221052631578947
RFGini-15,0.8315789473684211,0.838421052631579,0.8547368421052632,0.8252631578947368
RFGini-20,0.8547368421052632,0.851578947368421,0.8447368421052632,0.8021052631578948
RFGini-25,0.8415789473684211,0.8778947368421053,0.8547368421052632,0.8547368421052632
RFGini-30,0.8415789473684211,0.8910526315789473,0.8547368421052632,0.8415789473684211
RFEtry-5,0.8415789473684211,0.8184210526315789,0.851578947368421,0.8121052631578947
RFEtry-10,0.8778947368421053,0.8415789473684211,0.8778947368421053,0.7921052631578948
RFEtry-15,0.861578947368421,0.8747368421052631,0.851578947368421,0.828421052631579
RFEtry-20,0.8647368421052631,0.8547368421052632,0.8647368421052631,0.838421052631579
RFEtry-25,0.8215789473684211,0.861578947368421,0.851578947368421,0.8547368421052632
RFEtry-30,0.8678947368421053,0.8910526315789473,0.8547368421052632,0.8578947368421053
OA-5,0.7821052631578947,0.7757894736842106,0.7394736842105263,0.72
OA-10,0.7252631578947368,0.7494736842105263,0.7910526315789473,0.7357894736842105
OA-15,0.8115789473684211,0.7952631578947369,0.7778947368421052,0.7984210526315789
OA-20,0.8084210526315789,0.8252631578947368,0.8210526315789474,0.8084210526315789
OA-25,0.7852631578947369,0.8415789473684211,0.8278947368421052,0.7952631578947369
OA-30,0.8447368421052632,0.8347368421052632,0.8510526315789473,0.7852631578947369
