,kNN,SVM,Gaussian-NB,LDA
RlfF-5,1.0,1.0,1.0,1.0
RlfF-10,1.0,1.0,1.0,1.0
RlfF-15,1.0,1.0,1.0,1.0
RlfF-20,1.0,1.0,1.0,0.9444444444444444
RlfF-25,1.0,1.0,1.0,0.8125
RlfF-30,1.0,1.0,1.0,0.6111111111111112
MSurf-5,1.0,1.0,1.0,1.0
MSurf-10,1.0,1.0,1.0,1.0
MSurf-15,1.0,1.0,1.0,1.0
MSurf-20,1.0,1.0,1.0,1.0
MSurf-25,1.0,1.0,1.0,0.9444444444444444
MSurf-30,1.0,1.0,1.0,0.7083333333333333
RlfI-5,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444
RlfI-10,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9027777777777777
RlfI-15,0.9444444444444444,1.0,0.9791666666666667,0.9583333333333333
RlfI-20,1.0,1.0,0.9791666666666667,0.9236111111111112
RlfI-25,1.0,1.0,1.0,0.9791666666666667
RlfI-30,1.0,1.0,1.0,0.9583333333333333
RlfLM-5,1.0,1.0,0.9791666666666667,1.0
RlfLM-10,1.0,1.0,0.9791666666666667,1.0
RlfLM-15,1.0,1.0,1.0,1.0
RlfLM-20,1.0,1.0,1.0,1.0
RlfLM-25,1.0,1.0,1.0,0.8888888888888888
RlfLM-30,1.0,1.0,1.0,0.5138888888888888
MI-5,1.0,1.0,1.0,1.0
MI-10,1.0,1.0,1.0,1.0
MI-15,1.0,1.0,1.0,1.0
MI-20,1.0,1.0,1.0,1.0
MI-25,1.0,1.0,1.0,0.9027777777777777
MI-30,1.0,1.0,1.0,0.7777777777777777
RFGini-5,1.0,1.0,1.0,0.9444444444444444
RFGini-10,1.0,0.9444444444444444,1.0,0.9444444444444444
RFGini-15,1.0,1.0,1.0,0.9444444444444444
RFGini-20,1.0,1.0,1.0,0.9444444444444444
RFGini-25,1.0,1.0,1.0,0.9444444444444444
RFGini-30,1.0,1.0,1.0,0.9444444444444444
RFEtry-5,1.0,1.0,1.0,0.9444444444444444
RFEtry-10,1.0,0.9444444444444444,1.0,0.9444444444444444
RFEtry-15,1.0,1.0,1.0,0.9444444444444444
RFEtry-20,1.0,1.0,1.0,0.9444444444444444
RFEtry-25,1.0,1.0,1.0,0.9444444444444444
RFEtry-30,1.0,1.0,1.0,0.9444444444444444
OA-5,1.0,1.0,1.0,1.0
OA-10,1.0,1.0,1.0,1.0
OA-15,1.0,1.0,1.0,1.0
OA-20,1.0,1.0,1.0,0.9791666666666667
OA-25,1.0,1.0,1.0,1.0
OA-30,1.0,1.0,1.0,0.7291666666666666
