,kNN,SVM,Gaussian-NB,LDA,DT
PDE-S-25,0.9840812360726637,0.9882514488386211,0.9823730849019652,0.9860290875536816,0.9660102402326759
PDE-S-50,0.995878363936656,0.9971631205673759,0.9825242257071427,0.9925139116202946,0.9783385127967741
PDE-S-75,0.9965450306033226,1.0,0.9732743845155936,0.9932291549895748,0.9760519559706043
PDE-S-100,0.9972116972699894,0.9985815602836879,0.9542394624823004,0.9946475947058868,0.9728152529087775
