4.55864068664593e-05,4.63221736809341e-05,4.65860627249085e-05,4.68795778434707e-05,4.69873952225261e-05,4.7326167846641e-05,4.73572881019926e-05,4.75107583485898e-05
5.10422949487585e-05,5.13614737600271e-05,5.18299705085481e-05,5.22107703281794e-05,5.26330095716376e-05,5.2990566097894e-05,5.31111468446805e-05,5.32856730631546e-05
6.45173475469593e-05,6.48753525745781e-05,6.49177765960854e-05,6.52617973745976e-05,6.57343298475432e-05,6.5941605467466e-05,6.61559886729292e-05,6.63085374694674e-05
3.89853979090577e-05,3.82728059011103e-05,3.80104492329187e-05,3.77408290036852e-05,3.74632160769342e-05,3.73069057499454e-05,3.74545027016745e-05,3.74676485312056e-05
3.64860997994997e-05,3.57142573746649e-05,3.53587723689714e-05,3.49171469612995e-05,3.47592649991919e-05,3.46061854989302e-05,3.43575475198857e-05,3.42889586630338e-05
4.32753394118981e-05,4.24565576667533e-05,4.19547840504701e-05,4.209779579882e-05,4.26852886796755e-05,4.2553511118102e-05,4.24216231789511e-05,4.26262064771754e-05
3.22035297908687e-05,3.24177538478975e-05,3.24840043935475e-05,3.24704747737515e-05,3.25810862197757e-05,3.30586926968313e-05,3.32231942235536e-05,3.34795479133668e-05
3.54897903374422e-05,3.49250728019329e-05,3.49270995584525e-05,3.49574862518779e-05,3.45926298159097e-05,3.41503909674973e-05,3.44183104366386e-05,3.4584085099517e-05
4.49331509508721e-05,4.39543290372331e-05,4.35865120699408e-05,4.33075791520382e-05,4.31982582684601e-05,4.30998893749825e-05,4.34429387145154e-05,4.33918979398766e-05
2.5706136127377e-05,2.61936073191656e-05,2.63543759981794e-05,2.65456584985981e-05,2.65995935252232e-05,2.67326318179988e-05,2.65217273834852e-05,2.64521853728876e-05
3.42138691048641e-05,3.52769256609737e-05,3.61312890838071e-05,3.69510920472045e-05,3.74742961682045e-05,3.78979832817363e-05,3.82362831628084e-05,3.82708120400567e-05
8.25281094402005e-05,8.36530105458509e-05,8.41479482676956e-05,8.45021446496321e-05,8.45013856849886e-05,8.45318512997473e-05,8.44917714799302e-05,8.45687299507737e-05
3.4062065378238e-05,3.37399855690835e-05,3.37181715071036e-05,3.36618500198303e-05,3.36967361812781e-05,3.38008548604226e-05,3.38221520207157e-05,3.38333063176871e-05
3.63716448194613e-05,3.56153257580941e-05,3.46010461373858e-05,3.42796643388412e-05,3.40679911339452e-05,3.38415441605283e-05,3.37839024263058e-05,3.384855094689e-05
3.82914842074287e-05,3.84358838288128e-05,3.87105481084117e-05,3.90020452344104e-05,3.92701373002289e-05,3.95058347326197e-05,3.94734120664527e-05,3.95987674238368e-05
1.42561831999253e-05,1.42084488847032e-05,1.39950891876156e-05,1.38093967052424e-05,1.36985314229362e-05,1.36781794774478e-05,1.36063180918127e-05,1.34328664389916e-05
4.30356856831689e-05,4.3851946278628e-05,4.35921625166425e-05,4.35077115097594e-05,4.39761756531473e-05,4.40882214997908e-05,4.46237572432338e-05,4.49611684021883e-05
7.94975219329495e-05,8.05692092963652e-05,8.10094455769045e-05,8.09600006912959e-05,8.10453793448846e-05,8.08451163872709e-05,8.0521295591626e-05,8.03381719624215e-05
